Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.80      1.75     1.75 117890743     0.00     0.00  bool __gnu_cxx::operator!=<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
 12.18      3.20     1.45 264832319     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
 11.51      4.57     1.36 117744254     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
 11.30      5.91     1.34     3818     0.35     1.23  removeWS(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
 10.88      7.20     1.29     5000     0.26     0.40  removeDuplicates(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
 10.37      8.43     1.23     8016     0.15     0.45  cleanChars(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  8.85      9.47     1.05                             _init
  6.20     10.21     0.73 124014802     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  3.46     10.62     0.41 31347506     0.00     0.00  isPunctuation(char)
  3.41     11.03     0.41 61840000     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  2.53     11.32     0.30    18888     0.02     0.02  std::remove_reference<std::thread::id&>::type&& std::move<std::thread::id&>(std::thread::id&)
  2.11     11.57     0.25 61840000     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  1.31     11.73     0.15     6301     0.02     0.07  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<std::thread::id> >, std::is_move_constructible<std::thread::id>, std::is_move_assignable<std::thread::id> >::value, void>::type std::swap<std::thread::id>(std::thread::id&, std::thread::id&)
  0.25     11.76     0.03     5000     0.01     0.49  normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.21     11.79     0.03 28675000     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.08     11.79     0.01 28675000     0.00     0.00  std::__is_constant_evaluated()
  0.08     11.80     0.01    67798     0.00     0.00  std::thread::id::id()
  0.08     11.81     0.01     9713     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}> > >::~_State_impl()
  0.08     11.82     0.01     8780     0.00     0.00  std::_Head_base<0ul, normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}, false>::_M_head(std::_Head_base<0ul, normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}, false>&)
  0.08     11.84     0.01     8705     0.00     0.95  std::thread::_Invoker<std::tuple<normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}> >::operator()()
  0.08     11.85     0.01                             std::thread::_State_impl<std::thread::_Invoker<std::tuple<normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}> > >::_M_run()
  0.08     11.86     0.01                             std::thread::_State_impl<std::thread::_Invoker<std::tuple<normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}> > >::~_State_impl()
  0.04     11.86     0.01                             std::char_traits<char>::lt(char const&, char const&)
  0.00     11.86     0.00   174599     0.00     0.00  normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}&& std::forward<normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}>(std::remove_reference<normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}>::type&)
  0.00     11.86     0.00   100365     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::base() const
  0.00     11.86     0.00    90000     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00     11.86     0.00    80000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00     11.86     0.00    61042     0.00     0.00  operator new(unsigned long, void*)
